Data;433 - Índice nacional de preços ao consumidor-amplo (IPCA) - Var. % mensal;10844 - Índice Nacional de Preços ao Consumidor - Amplo (IPCA) - Serviços - Var. % mensal
01/1980;6,62 ;-
02/1980;4,62 ;-
03/1980;6,04 ;-
04/1980;5,29 ;-
05/1980;5,70 ;-
06/1980;5,31 ;-
07/1980;5,55 ;-
08/1980;4,95 ;-
09/1980;4,23 ;-
10/1980;9,48 ;-
11/1980;6,67 ;-
12/1980;6,61 ;-
01/1981;6,84 ;-
02/1981;6,40 ;-
03/1981;4,97 ;-
04/1981;6,46 ;-
05/1981;5,56 ;-
06/1981;5,52 ;-
07/1981;6,26 ;-
08/1981;5,50 ;-
09/1981;5,26 ;-
10/1981;5,08 ;-
11/1981;5,27 ;-
12/1981;5,93 ;-
01/1982;6,97 ;-
02/1982;6,64 ;-
03/1982;5,71 ;-
04/1982;5,89 ;-
05/1982;6,66 ;-
06/1982;7,10 ;-
07/1982;6,36 ;-
08/1982;5,97 ;-
09/1982;5,08 ;-
10/1982;4,44 ;-
11/1982;5,29 ;-
12/1982;7,81 ;-
01/1983;8,64 ;-
02/1983;7,86 ;-
03/1983;7,34 ;-
04/1983;6,58 ;-
05/1983;6,48 ;-
06/1983;9,88 ;-
07/1983;10,08 ;-
08/1983;9,11 ;-
09/1983;10,30 ;-
10/1983;8,87 ;-
11/1983;7,38 ;-
12/1983;8,68 ;-
01/1984;9,67 ;-
02/1984;9,50 ;-
03/1984;8,94 ;-
04/1984;9,54 ;-
05/1984;9,05 ;-
06/1984;10,08 ;-
07/1984;9,72 ;-
08/1984;9,35 ;-
09/1984;11,75 ;-
10/1984;10,44 ;-
11/1984;10,53 ;-
12/1984;11,98 ;-
01/1985;11,76 ;-
02/1985;10,87 ;-
03/1985;10,16 ;-
04/1985;8,20 ;-
05/1985;7,20 ;-
06/1985;8,49 ;-
07/1985;10,31 ;-
08/1985;12,05 ;-
09/1985;11,12 ;-
10/1985;10,62 ;-
11/1985;13,97 ;-
12/1985;15,07 ;-
01/1986;14,37 ;-
02/1986;12,72 ;-
03/1986;4,77 ;-
04/1986;0,78 ;-
05/1986;1,40 ;-
06/1986;1,27 ;-
07/1986;1,71 ;-
08/1986;3,55 ;-
